shard_number,txn_hash,from_address,to_address,age,txn_value,txn_fee
0,0xc78...14b09,one1t...2r54m,one10...p6gwz,08/18/2020 18:00:16 MDT,12,0.000021
0,0x466...5e291,one18...wqfss,one18...8ggj7,08/18/2020 17:58:41 MDT,11,0.000025
0,0x8d5...d3cff,one1v...2yjhr,one1x...7ndc7,08/18/2020 17:58:36 MDT,294195.2549,0.000021
0,0x202...c243b,one1j...u04u8,one1x...n5949,08/18/2020 17:58:06 MDT,0,0.01000001
0,0xbba...1aa8b,one1j...u04u8,one1x...n5949,08/18/2020 17:53:06 MDT,0,0.01000001
0,0xe49...05113,one18...wqfss,one18...8ggj7,08/18/2020 17:49:01 MDT,11,0.000025
0,0x144...094d5,one1j...u04u8,one1x...n5949,08/18/2020 17:48:06 MDT,0,0.01000001
0,0x12c...d7f75,one1f...nla46,one1y...rqsdk,08/18/2020 17:47:46 MDT,25000,0.000021
0,0x38e...e6c11,one1y...aqu2c,one1q...4pjvp,08/18/2020 17:45:11 MDT,0.001,0.000021
0,0xe57...585c8,one1x...vn2tk,one15...gjstu,08/18/2020 17:45:01 MDT,16016.996,0
0,0x1d2...ba6f8,one1y...aqu2c,one1q...4pjvp,08/18/2020 17:44:01 MDT,1,0.000021
0,0x461...19b4a,one1j...u04u8,one1x...n5949,08/18/2020 17:43:06 MDT,0,0.01000001
0,0xe86...e2760,one1c...j0nej,one1x...vn2tk,08/18/2020 17:42:51 MDT,4076,0
0,0xaaa...31e2c,one1f...nla46,one1y...rqsdk,08/18/2020 17:42:01 MDT,24000,0.000021
0,0x638...268d0,one1j...u04u8,one1x...n5949,08/18/2020 17:38:05 MDT,0,0.01000001
0,0xad2...b7157,one1f...nla46,one1y...rqsdk,08/18/2020 17:37:20 MDT,1000,0.000021
0,0xa7b...4af98,one12...c3d85,one1w...2xt26,08/18/2020 17:36:43 MDT,233609,0.000021
0,0x804...c5fd6,one1j...u04u8,one1x...n5949,08/18/2020 17:33:02 MDT,0,0.01000001
0,0xee7...d1cd0,one1w...2xt26,one1y...aqu2c,08/18/2020 17:30:42 MDT,221373.243,0.000021
0,0x943...23bd5,one1t...2r54m,one10...p6gwz,08/18/2020 17:30:17 MDT,12,0.000021
0,0xb7a...98e70,one1l...zm2jd,one1w...2xt26,08/18/2020 17:29:32 MDT,74872.8712,0.000021
0,0xff2...a9f56,one1j...u04u8,one1x...n5949,08/18/2020 17:28:02 MDT,0,0.01000001
0,0x95c...40b6a,one1r...aggs4,one1q...8wd2t,08/18/2020 17:23:32 MDT,599999.999,0.00021
0,0x887...4b78a,one1j...u04u8,one1x...n5949,08/18/2020 17:23:02 MDT,0,0.01000001
